exp_name,window,mae_pt,smape_pt,mae_kWh,smape_kWh
PREHEAT_ROUNDS=10,AVG,0.86¡À0.09,10.25¡À0.72,1.37¡À0.39,6.80¡À2.13
PREHEAT_ROUNDS=15,30,0.95,11.02,1.79,9.06
PREHEAT_ROUNDS=15,60,0.88,10.48,1.5,7.43
PREHEAT_ROUNDS=15,120,0.87,10.41,1.25,6.28
PREHEAT_ROUNDS=15,240,0.87,10.29,1.16,5.75
PREHEAT_ROUNDS=15,360,0.82,9.68,1.25,6.14
PREHEAT_ROUNDS=15,480,0.92,10.57,1.13,5.57
PREHEAT_ROUNDS=15,AVG,0.89¡À0.06,10.41¡À0.61,1.35¡À0.44,6.71¡À2.36
PREHEAT_ROUNDS=20,30,0.94,10.97,1.84,9.3
PREHEAT_ROUNDS=20,60,0.84,10.17,1.49,7.32
PREHEAT_ROUNDS=20,120,0.84,10.26,1.26,6.28
PREHEAT_ROUNDS=20,240,0.84,10.15,1.19,5.81
PREHEAT_ROUNDS=20,360,0.78,9.43,1.26,6.2
PREHEAT_ROUNDS=20,480,0.82,9.8,1.19,5.88
PREHEAT_ROUNDS=20,AVG,0.84¡À0.10,10.13¡À0.84,1.37¡À0.47,6.80¡À2.50
PREHEAT_ROUNDS=25,30,0.94,10.91,1.84,9.3
PREHEAT_ROUNDS=25,60,0.83,10.15,1.5,7.44
PREHEAT_ROUNDS=25,120,0.84,10.19,1.22,6.09
PREHEAT_ROUNDS=25,240,0.84,10.11,1.19,5.81
PREHEAT_ROUNDS=25,360,0.79,9.49,1.27,6.25
PREHEAT_ROUNDS=25,480,0.81,9.77,1.19,5.85
PREHEAT_ROUNDS=25,AVG,0.84¡À0.10,10.10¡À0.81,1.37¡À0.47,6.79¡À2.51
GAMMA_ALPHA=0.1,30,0.93,10.9,1.85,9.35
GAMMA_ALPHA=0.1,60,0.85,10.21,1.48,7.28
GAMMA_ALPHA=0.1,120,0.84,10.15,1.24,6.17
GAMMA_ALPHA=0.1,240,0.83,9.95,1.18,5.81
GAMMA_ALPHA=0.1,360,0.78,9.44,1.24,6.14
GAMMA_ALPHA=0.1,480,0.82,9.81,1.17,5.77
GAMMA_ALPHA=0.1,AVG,0.84¡À0.09,10.08¡À0.82,1.36¡À0.49,6.75¡À2.60
GAMMA_ALPHA=0.3,30,0.93,10.85,1.88,9.48
GAMMA_ALPHA=0.3,60,0.85,10.25,1.5,7.36
GAMMA_ALPHA=0.3,120,0.85,10.29,1.25,6.24
GAMMA_ALPHA=0.3,240,0.85,10.19,1.19,5.8
GAMMA_ALPHA=0.3,360,0.78,9.46,1.26,6.22
GAMMA_ALPHA=0.3,480,0.82,9.83,1.18,5.8
GAMMA_ALPHA=0.3,AVG,0.85¡À0.08,10.14¡À0.70,1.37¡À0.50,6.82¡À2.66
GAMMA_ALPHA=0.5,30,0.94,10.97,1.85,9.34
GAMMA_ALPHA=0.5,60,0.85,10.3,1.55,7.62
GAMMA_ALPHA=0.5,120,0.86,10.37,1.24,6.19
GAMMA_ALPHA=0.5,240,0.85,10.21,1.19,5.8
GAMMA_ALPHA=0.5,360,0.78,9.45,1.27,6.26
GAMMA_ALPHA=0.5,480,0.83,9.91,1.18,5.81
GAMMA_ALPHA=0.5,AVG,0.85¡À0.09,10.20¡À0.77,1.38¡À0.47,6.84¡À2.50
GAMMA_ALPHA=0.7,30,0.95,11.02,1.79,9.06
GAMMA_ALPHA=0.7,60,0.88,10.48,1.5,7.43
GAMMA_ALPHA=0.7,120,0.87,10.41,1.25,6.28
GAMMA_ALPHA=0.7,240,0.87,10.29,1.16,5.75
GAMMA_ALPHA=0.7,360,0.82,9.68,1.25,6.14
GAMMA_ALPHA=0.7,480,0.92,10.57,1.13,5.57
GAMMA_ALPHA=0.7,AVG,0.89¡À0.06,10.41¡À0.61,1.35¡À0.44,6.71¡À2.36
GAMMA_ALPHA=0.9,30,0.94,10.97,1.76,8.94
GAMMA_ALPHA=0.9,60,0.85,10.31,1.55,7.64
GAMMA_ALPHA=0.9,120,0.86,10.37,1.27,6.33
GAMMA_ALPHA=0.9,240,0.86,10.26,1.21,5.93
GAMMA_ALPHA=0.9,360,0.79,9.49,1.27,6.24
GAMMA_ALPHA=0.9,480,0.82,9.82,1.19,5.88
GAMMA_ALPHA=0.9,AVG,0.85¡À0.09,10.20¡À0.77,1.38¡À0.39,6.83¡À2.11
