exp_name,window,mae_pt,smape_pt,mae_kWh,smape_kWh
PREHEAT_ROUNDS=10,AVG,0.91¡À0.06,8.77¡À0.54,2.93¡À0.12,9.15¡À0.39
PREHEAT_ROUNDS=15,30,0.97,9.39,2.79,9.04
PREHEAT_ROUNDS=15,60,0.94,9.06,2.95,9.3
PREHEAT_ROUNDS=15,120,0.92,8.7,2.99,9.31
PREHEAT_ROUNDS=15,240,0.87,8.26,2.76,8.55
PREHEAT_ROUNDS=15,360,0.89,8.6,2.85,8.74
PREHEAT_ROUNDS=15,480,0.9,8.74,2.91,8.91
PREHEAT_ROUNDS=15,AVG,0.92¡À0.05,8.79¡À0.60,2.88¡À0.12,8.98¡À0.33
PREHEAT_ROUNDS=20,30,0.96,9.37,3.1,10
PREHEAT_ROUNDS=20,60,0.93,9,3,9.41
PREHEAT_ROUNDS=20,120,0.92,8.68,3.02,9.39
PREHEAT_ROUNDS=20,240,0.86,8.23,2.86,8.8
PREHEAT_ROUNDS=20,360,0.89,8.58,2.95,9.04
PREHEAT_ROUNDS=20,480,0.9,8.72,2.96,9.07
PREHEAT_ROUNDS=20,AVG,0.91¡À0.05,8.76¡À0.61,2.98¡À0.12,9.28¡À0.72
PREHEAT_ROUNDS=25,30,0.96,9.28,3.03,9.77
PREHEAT_ROUNDS=25,60,0.94,9.02,3.04,9.57
PREHEAT_ROUNDS=25,120,0.92,8.66,3.03,9.47
PREHEAT_ROUNDS=25,240,0.86,8.25,2.85,8.77
PREHEAT_ROUNDS=25,360,0.88,8.55,2.95,9.06
PREHEAT_ROUNDS=25,480,0.9,8.7,2.96,9.06
PREHEAT_ROUNDS=25,AVG,0.91¡À0.05,8.74¡À0.54,2.98¡À0.07,9.28¡À0.49
GAMMA_ALPHA=0.1,30,0.95,9.16,3.02,9.74
GAMMA_ALPHA=0.1,60,0.92,8.85,3,9.43
GAMMA_ALPHA=0.1,120,0.9,8.54,2.98,9.25
GAMMA_ALPHA=0.1,240,0.87,8.32,2.83,8.71
GAMMA_ALPHA=0.1,360,0.88,8.46,2.95,9
GAMMA_ALPHA=0.1,480,0.88,8.42,2.93,8.98
GAMMA_ALPHA=0.1,AVG,0.90¡À0.05,8.62¡À0.54,2.95¡À0.07,9.19¡À0.55
GAMMA_ALPHA=0.3,30,0.96,9.25,3.05,9.86
GAMMA_ALPHA=0.3,60,0.92,8.89,2.99,9.35
GAMMA_ALPHA=0.3,120,0.92,8.66,3,9.38
GAMMA_ALPHA=0.3,240,0.87,8.26,2.78,8.58
GAMMA_ALPHA=0.3,360,0.88,8.45,2.97,9.07
GAMMA_ALPHA=0.3,480,0.89,8.56,2.96,9.05
GAMMA_ALPHA=0.3,AVG,0.91¡À0.05,8.68¡À0.57,2.96¡À0.09,9.21¡À0.64
GAMMA_ALPHA=0.5,30,0.96,9.3,3.1,9.99
GAMMA_ALPHA=0.5,60,0.93,8.97,3.02,9.5
GAMMA_ALPHA=0.5,120,0.92,8.69,3.04,9.51
GAMMA_ALPHA=0.5,240,0.86,8.21,2.8,8.64
GAMMA_ALPHA=0.5,360,0.88,8.47,2.99,9.12
GAMMA_ALPHA=0.5,480,0.9,8.65,2.94,8.98
GAMMA_ALPHA=0.5,AVG,0.91¡À0.05,8.72¡À0.59,2.98¡À0.12,9.29¡À0.70
GAMMA_ALPHA=0.7,30,0.97,9.39,2.79,9.04
GAMMA_ALPHA=0.7,60,0.94,9.06,2.95,9.3
GAMMA_ALPHA=0.7,120,0.92,8.7,2.99,9.31
GAMMA_ALPHA=0.7,240,0.87,8.26,2.76,8.55
GAMMA_ALPHA=0.7,360,0.89,8.6,2.85,8.74
GAMMA_ALPHA=0.7,480,0.9,8.74,2.91,8.91
GAMMA_ALPHA=0.7,AVG,0.92¡À0.05,8.79¡À0.60,2.88¡À0.12,8.98¡À0.33
GAMMA_ALPHA=0.9,30,0.97,9.35,3.02,9.74
GAMMA_ALPHA=0.9,60,0.94,9.11,3.02,9.5
GAMMA_ALPHA=0.9,120,0.93,8.77,3.1,9.71
GAMMA_ALPHA=0.9,240,0.87,8.28,2.74,8.46
GAMMA_ALPHA=0.9,360,0.89,8.6,2.99,9.13
GAMMA_ALPHA=0.9,480,0.91,8.78,2.95,9.02
GAMMA_ALPHA=0.9,AVG,0.92¡À0.05,8.82¡À0.53,2.97¡À0.13,9.26¡À0.48
