V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277
P1,4730,4553,4303,3936,3852,3632,3749,3623,3609,4124,4345,4655,4720,4360,4372,3899,3673,3578,3651,3507,3634,4121,4274,4559,4601,4405,4577,3865,3597,3533,3685,3598,3792,4070,4500,4616,4588,4345,4342,3924,3766,3685,3646,3612,3751,4146,4250,4687,4974,4227,4642,3999,3883,3772,3761,3707,3918,4083,4609,4835,5142,4934,4825,4171,3918,3806,3956,3813,4124,4492,4497,4981,5286,4529,4658,4442,4012,4000,4086,3966,4118,4681,4777,4984,5082,4549,4935,4339,4146,4058,4180,4073,4313,4674,4917,5255,5209,4932,4915,4419,4270,4247,4352,4222,4318,4652,5086,5391,5607,5133,5267,4597,4512,4354,4509,4451,4597,4952,5119,5415,5723,5096,5362,4808,4627,4460,4641,4509,4739,5136,5466,5853,6262,5047,5161,4799,4372,4380,4544,4301,4702,5336,5815,5704,5916,5513,5444,4797,4492,4432,4671,4501,4642,5325,5211,5566,6240,5841,6122,5409,5233,5240,5281,4983,5244,5537,5954,6215,5339,5051,5218,5180,5023,4994,5063,4846,5012,5432,5805,6211,6407,5757,5704,5266,5240,5154,5273,5130,5188,5561,5766,6054,6266,5520,5896,5194,5298,5199,5341,5179,5331,5865,6058,6292,6356,5879,6064,5603,5363,5345,5448,5244,5484,5764,5762,6066,6258,5637,5865,5009,5025,4966,5188,4991,5211,5646,5718,6121,6348,5752,6030,5342,5301,5264,5393,5243,5399,5798,5903,6551,6417,5849,6163,5348,5423,5193,5396,5383,5447,5754,5990,6204,6348,6353,6062,5444,5406,5323,5475,5397,5377,5835,5926,6314,6541,5974,6269,5587,5395,5337,5514,5340,5437,5900,6051,6264
P2,1251,1047,1160,1141,979,943,846,776,749,965,1325,1428,1013,922,941,829,790,769,802,810,795,950,951,1058,1037,983,988,882,832,909,841,856,824,917,1037,1085,1118,976,986,847,852,837,853,861,840,907,963,1069,1024,890,952,851,869,842,889,874,865,985,1016,1114,1093,998,1012,911,908,888,928,939,835,983,993,1087,1100,935,963,816,831,813,863,879,846,939,961,1055,1073,977,1015,911,898,875,929,944,913,1031,1001,1158,1155,1038,1075,938,939,908,967,984,925,1014,1086,1157,1161,1135,1020,957,934,913,976,983,921,990,993,1139,1111,1009,1060,946,920,904,967,978,921,1002,1030,1168
P3,6157,5802,5623,5255,5200,5024,4608,4733,5062,5744,5924,6166,6423,5894,5992,5535,5219,5121,4746,5022,5371,6053,5915,6150,6289,5871,6092,5508,5273,5245,4765,5017,5521,6074,6224,6449,6531,6067,6417,5892,5572,5528,5031,5327,5827,6297,6248,6711,7002,6185,6715,6038,5900,5724,5242,5526,5819,6137,6374,6863,7072,6752,6807,5983,6007,5591,5361,5481,5932,6467,6693,7137,7536,6412,6634,6331,6046,5906,5645,5800,6059,6721,6798,7180,7327,6602,7091,6574,6290,6099,5840,5912,6377,6983,7098,7223,7171,6755,7128,6494,6212,6186,5873,6071,6366,7035,7237,7572,7552,7107,7422,6680,6714,6323,6167,6284,6563,7210,7323,7506,7906,7077,7602,6904,6628,6351,6152,6344,6620,7064,7301,7605,7823,7212,7341,6826,6761,6541,6395,6448,6711,7390,7343,7799,8209,7460,7516,7001,6860,6599,6517,6501,6838,7611,7481,7889,8173,7557,7857,7110,6956,6843,6604,6751,7066,7542,7686,8131,8164,7534,7844,7171,6993,6812,6481,6636,6981,7305,7769,8237,8498,7768,8261,7290,7234,7001,6906,6859,7121,7603,7741,8080,8332,7476,7950,7084,7174,7035,6874,7032,7140,7803,8012,8248,8466,7991,8095,7598,7332,7076,6950,6880,7204,7637,7425,7551,8029,7160,7189,6445,6522,6417,6344,6494,6819,7331,7206,7849,8403,7552,7892,7242,7200,7008,6876,6921,7106,7604,7821,8574,8748,7408,7818,7002,7103,6874,6602,6676,6732,7188,7276,7593,7911,7956,7487,6915,6764,6544,6276,6648,6527,7041,7306,7482,8037,7217,7797,6989,6824,6556,6582,6663,6746,7470,7737,7621
P4,3899,3770,3643,3000,2375,2342,2524,2518,2499,2968,3239,3917,3633,3457,3269,2662,2529,2440,2537,2527,2496,2743,3160,3564,3584,3420,3418,2780,2517,2492,2652,2629,2574,2964,3386,3667,3999,3530,3447,2735,2686,2630,2424,2485,2708,2642,3035,3351,3204,2971,3052,2562,2464,2438,2360,2339,2233,2768,3100,3635,3917,3295,2954,2637,2522,2459,2578,2584,2499,2722,2982,3304,3609,3076,3192,2533,2293,2274,2436,2369,2270,2578,2766,3180,3483,3048,3018,2440,2284,2021,2113,2239,2265,2739,2634,3253,3471,3102,3083,2573,2408,2325,2487,2459,2337,2713,3112,3163,3552,3574,2977,2334,2281,2285,2475,2391,2180,2387,2711,3316,3378,2911,2880,2421,2197,2330,2437,2482,2300,2636,2741,3358
P5,4927,4727,4457,4185,4090,3805,3637,3697,3847,4391,4670,4903,5088,4973,4693,4158,3938,3733,3704,3741,3923,4432,4500,4738,4798,4555,4777,3992,3803,3772,3659,3689,3950,4371,4774,4788,4820,4514,4437,4177,3911,3883,3638,3707,3984,4311,4443,4722,5158,4379,4814,4045,4001,3882,3710,3756,4030,4199,4682,4911,5075,4928,4764,4109,3964,3770,3738,3733,4148,4373,4850,4930,5225,4533,4521,4235,3984,3854,3810,3815,4040,4515,4791,5004,5106,4608,4822,4289,4038,3980,3867,3893,4202,4472,4955,5142,5189,4996,5038,4447,4147,3999,3920,4017,4282,4611,5104,5306,5474,5021,5084,4427,4434,4173,4142,4229,4369,4791,5126,5131,5514,4955,5226,4715,4501,4286,4341,4322,4509,4803,5233,5495,5748,4977,5152,4762,4611,4380,4342,4349,4561,5019,5146,5406,5722,5381,5217,4729,4459,4502,4433,4435,4554,5106,5200,5523,5773,5333,5540,4776,4646,4534,4446,4510,4645,5024,5383,5777,6004,5593,5612,5065,4826,4782,4703,4723,4916,5221,5532,6070,6221,5586,5968,4987,4930,4792,4718,4692,4914,5145,5468,5802,5856,5317,5672,4817,4920,4824,4730,4763,4918,5400,5816,6027,6061,5611,5732,5373,4979,4907,4855,4807,5077,5392,5642,5998,6297,5611,5710,4797,4765,4675,4727,4744,4846,5291,5512,6037,6329,5698,5968,5107,5096,4946,4919,4898,5023,5519,5797,6409,6298,5682,5910,4927,5084,4792,4797,4869,4946,5370,5722,6042,6234,6329,5654,5106,4916,4797,4770,4828,4886,5447,5696,6094,6272,5916,5985,5241,5056,4824,4813,4755,4845,5289,5767,6088
P6,437,393,379,341,381,448,549,620,507,411,365,404,446,407,411,347,378,436,492,492,440,358,350,391,446,386,358,303,343,417,540,505,426,363,301,330,353,296,300,279,331,368,452,463,376,318,288,362
P7,5710,5165,5466,4568,4188,3940,3809,3892,4302,4947,5486,5676,5598,5279,5225,4429,4128,3867,3628,3801,3970,4708,5287,5519,5802,5233,5434,4478,4167,4061,3909,4099,4295,4832,5187,5477,5895,5175,5535,4908,4309,4196,3955,4145,4440,4868,5514,5749,5984,5067,5361,4799,4312,4092,4076,4077,4382,5182,5358,5832,6066,5617,5497,4927,4349,4187,4171,4210,4406,5320,5422,5721,6153,5576,5796,4919,4732,4401,4222,4343,4567,5179,5633,5930,6042,5736,5916,5013,4821,4518,4359,4479,4654,5254,5816,6085,6641,5882,6190,5123,4872,4724,4541,4688,4724,5326,5775,5822,6055,5534,5884,5071,5009,4777,4671,4788,4933,5636,6123,6182,6342,5874,6014,5499,5110,4784,4819,4761,5081,5533,5636,5688,6283,5562,5718,4629,4599,4499,4483,4510,4648,5357,5479,5831,6277,5640,5806,5046,4963,4687,4568,4679,4860,5417,5539,6254,6160,5685,5790,4966,4975,4683,4564,4754,4713,5312,5717,5717,6029,6176,5595,5088,4879,4652,4595,4683,4713,5381,5512,5725,6117,5517,5915,5101,4842,4635,4556,4668,4815,5319,5573,5651
P8,42960,40635,39147,37131,35837,34338,33659,32965,34676,39053,40689,41376,43404,40458,40979,37025,34606,33124,34067,32558,35274,39826,39933,40496,41587,39476,41395,35679,33503,33182,32835,32908,35701,38720,41557,41585,41663,39067,40734,36476,34983,34207,33728,34026,35958,38838,39678,41513,44030,38115,41930,36389,36073,34129,33867,34081,41414,43930,48013,50155,52421,49450,49554,42957,42128,39396,40361,40148,42574,46309,47863,50603,54036,45820,46349,45777,41693,41138,41723,40357,42298,47508,49192,50231,50898,46330,49932,44737,42816,41496,43049,41998,44305,48186,50412,51470,47002,44597,46488,41164,39623,38800,39308,39217,40624,44320,46923,48932,49541,46272,47985,42178,42548,39286,40869,40033,42436,45615,46923,47628,50795,44411,48465,43492,43081,39169,41007,41078,41685,44790,47159,47481,50536,43691,47408,43885,42819,39961,40725,40119,42027,45132,46645,47818,51972,48079,47640,43901,42905,40763,42115,41465,42997,46742,47311,48136,51017,47312,49694,43871,43291,42319,43535,42234,43060,46883,49159,50298,50927,48766,49467,45074,43240,43598,43805,43010,43081,46034,49063,50306,52891,49124,51141,44741,43565,43178,45224,43645,42926,45998,48617,48028,52511,47759,50293,44479,43023,44017,45204,44619,42259,46728,47942,47065,52096,49868,48947,46639,43024,44131,46350,44225,43347,46525,46428,45582,50809,46262,47275,40269,40591,41487,42644,40177,40628,45411,45458,45846,51096,48572,48685,42082,42788,44736,44225,42872,41299,46749,46869,47449,51756,49519,48292,43412,42829,43093,43307,41915,41125,45668,44922,48429,49492,50031,47798,41379,41662,43868,43589,40570,41442,46127,44878,49031,48611,46425,48665,42148,41755,40796,42477,41891,42697,44571,45651,44871
P9,3507,3112,3197,2723,2742,2655,2573,2683,2762,2960,3180,3546,3397,2890,3139,2652,2727,2553,2527,2749,2759,2895,3014,3156,3263,3152,2980,2694,2653,2566,2378,2692,2672,2953,3002,3263,3336,2922,3094,2690,2590,1723,2456,2435,2294,2829,2933,3048
P10,902,768,756,635,575,505,516,528,572,671,728,855,824,787,769,637,588,515,521,551,562,644,690,739,820,844,753,659,593,534,531,560,584,685,717,858,860,732,811,691,608,543,554,571,573,661,697,748
